종목코드,종목명,현재가,전일대비변동액,등락률,NAV,3개월수익률,거래량,거래대금(백만),시가총액(억),NAV괴리율(%),운용사
0192L0,RISE SK하이닉스단일종목레버리지,12375,165,1.35,12546.0,,670971,9208,718,-1.36,KB자산운용 (RISE)
453950,TIGER TSMC파운드리밸류체인,36800,1110,3.11,36768.0,13.6746,10988,408,718,0.09,미래에셋자산운용 (TIGER)
359210,KODEX 코스피TR,35505,520,1.49,35521.0,6.0633,8684,317,710,-0.05,삼성자산운용 (KODEX)
0098Z0,FOCUS 200,94400,1775,1.92,93771.0,11.6027,20,1,708,0.67,기타
0022T0,SOL 국제금커버드콜액티브,13460,275,2.09,13298.0,-14.1329,36090,484,700,1.22,신한자산운용 (SOL)
277640,TIGER 코스피대형주,37690,510,1.37,37735.0,9.0944,14673,573,697,-0.12,미래에셋자산운용 (TIGER)
475350,RISE 버크셔포트폴리오TOP10,15630,95,0.61,15617.0,9.0558,20178,314,696,0.08,KB자산운용 (RISE)
475310,SOL 반도체후공정,25220,95,0.38,25229.0,-23.213,144578,3789,694,-0.04,신한자산운용 (SOL)
440640,ACE 단기채권알파액티브,112240,10,0.01,112245.0,0.6908,379,42,688,-0.0,한국투자신탁운용 (ACE)
458750,TIGER 미국배당다우존스타겟커버드콜1호,13465,110,0.82,13456.0,6.1952,12207,164,687,0.07,미래에셋자산운용 (TIGER)
491700,HK 200,114435,5405,4.96,110287.0,12.2841,412,47,687,3.76,기타
0040S0,HANARO 글로벌피지컬AI액티브,25795,520,2.06,25993.0,12.8852,10843,283,684,-0.76,NH-Amundi자산운용 (HANARO)
0194M0,ACE 삼성전자단일종목레버리지,12720,235,1.88,12794.0,,481286,6556,681,-0.58,한국투자신탁운용 (ACE)
306950,KODEX KRX300레버리지,85005,2220,2.68,84527.0,3.9947,7865,708,680,0.57,삼성자산운용 (KODEX)
0197W0,SOL SK하이닉스단일종목레버리지,12140,235,1.97,12261.0,,3291251,44177,680,-0.99,신한자산운용 (SOL)
252400,RISE 200선물레버리지,112700,3395,3.11,112564.0,9.5789,12553,1494,676,0.12,KB자산운용 (RISE)
495940,RISE 미국AI테크액티브,21725,335,1.57,21854.0,15.0,27577,598,673,-0.59,KB자산운용 (RISE)
0102A0,TIGER 미국AI소프트웨어TOP4Plus,7815,25,0.32,7811.0,-2.625,143334,1115,672,0.05,미래에셋자산운용 (TIGER)
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),9840,100,1.03,9791.0,-0.3895,28015,275,669,0.5,미래에셋자산운용 (TIGER)
0036D0,TIME 미국배당다우존스액티브,13160,60,0.46,13158.0,15.3196,66354,872,665,0.02,기타
433880,PLUS TDF2060액티브 적격,19420,215,1.12,19333.0,3.057,17261,335,662,0.45,한화자산운용 (PLUS)
0008T0,SOL 화장품TOP3플러스,14060,-325,-2.26,14087.0,-11.7108,237920,3391,661,-0.19,신한자산운용 (SOL)
0089C0,KODEX 미국S&P500변동성확대시커버드콜,11935,180,1.53,12007.0,4.4293,1319,15,650,-0.6,삼성자산운용 (KODEX)
228800,TIGER 여행레저,2480,15,0.61,2486.0,-25.1159,124092,309,650,-0.24,미래에셋자산운용 (TIGER)
0115E0,KODEX 코리아소버린AI,13365,390,3.01,13363.0,-10.9627,53816,732,648,0.01,삼성자산운용 (KODEX)
479730,TIGER 인도빌리언컨슈머,10340,100,0.98,10455.0,-1.0609,65167,672,641,-1.1,미래에셋자산운용 (TIGER)
0111J0,HANARO 증권고배당TOP3플러스,13875,-60,-0.43,13904.0,-26.1206,95744,1358,631,-0.21,NH-Amundi자산운용 (HANARO)
487130,KoAct AI인프라액티브,27445,170,0.62,27463.0,-1.3563,10826,306,631,-0.07,삼성액티브자산운용 (KoAct)
486830,HANARO 머니마켓액티브,53060,-5,-0.01,53075.0,0.7308,8157,432,630,-0.03,NH-Amundi자산운용 (HANARO)
0123S0,HANARO 26-12 은행채(AA+이상)액티브,10165,20,0.2,10155.0,0.4455,5,0,630,0.1,NH-Amundi자산운용 (HANARO)
261240,KODEX 미국달러선물,15250,95,0.63,15256.0,0.9324,34454,524,628,-0.04,삼성자산운용 (KODEX)
